browser,browserVersion,chromeVersion,firstSeen
qq_android,6,37,
qq_android,6.1,37,
qq_android,6.2,37,
qq_android,6.3,37,
qq_android,6.4,37,
qq_android,6.6,37,
qq_android,6.7,37,
qq_android,6.8,37,
qq_android,6.9,37,
qq_android,7,37,
qq_android,7.1,37,
qq_android,7.2,37,
qq_android,7.3,37,
qq_android,7.4,37,
qq_android,7.5,37,
qq_android,7.6,37,
qq_android,7.7,37,
qq_android,7.8,37,
qq_android,7.9,37,
qq_android,8,37,
qq_android,8.1,57,
qq_android,8.2,57,
qq_android,8.3,57,
qq_android,8.4,57,
qq_android,8.5,57,
qq_android,8.6,57,
qq_android,8.7,57,
qq_android,8.8,57,
qq_android,8.9,57,
qq_android,9.1,57,
qq_android,9.7,66,
qq_android,9.8,66,
qq_android,10,66,
qq_android,10.1,66,
qq_android,10.2,66,
qq_android,10.3,66,
qq_android,10.4,66,
qq_android,10.5,66,
qq_android,10.7,66,2020-09-09
qq_android,10.9,77,2020-11-22
qq_android,11,77,
qq_android,11.2,77,2021-01-30
qq_android,11.3,77,2021-03-31
qq_android,11.7,89,2021-11-02
qq_android,11.9,89,2021-11-24
qq_android,12,89,2021-11-04
qq_android,12.1,89,2021-11-05
qq_android,12.2,89,2021-12-07
qq_android,12.5,89,2022-04-07
qq_android,12.7,89,2022-05-21
qq_android,12.8,89,2022-06-30
qq_android,12.9,89,2022-07-26
qq_android,13,89,2022-08-15
qq_android,13.1,89,2022-09-10
qq_android,13.2,89,2022-10-26
qq_android,13.3,89,2022-11-09
qq_android,13.4,98,2023-04-26
qq_android,13.5,98,2023-02-06
qq_android,13.6,98,2023-02-09
qq_android,13.7,98,2023-04-21
qq_android,13.8,98,2023-04-21
qq_android,14,98,2023-07-05
qq_android,14.1,98,2023-07-16
qq_android,14.2,98,2023-08-17
qq_android,14.3,109,2023-09-12
qq_android,14.4,109,2023-10-31
qq_android,14.5,109,2023-11-12
qq_android,14.6,109,2023-12-24
qq_android,14.8,109,2024-03-04
qq_android,14.9,109,2024-04-09
qq_android,15,109,2024-04-17
qq_android,15.1,109,2024-05-18
qq_android,15.2,109,2024-06-20
qq_android,15.3,109,2024-07-28
qq_android,15.4,109,2024-09-07
qq_android,15.5,109,2024-09-24
qq_android,15.6,109,2024-10-24